filename,gender,speaker,gradelevel,sentence,modification,intensity,f0,f1,f2,f3,snr,spr,score,accuracy,insertion,deletion,substitution,words
FAHJ1BA2,F,AHJ,1,BA,2,65.84,251.83,1596.97,3027.01,4498.04,14.6781,5.536913,5.85,0.62,0,3,2,13
FAHJ1BB2,F,AHJ,1,BB,2,64.32,259.44,1686.96,3088.8,4494.14,23.2902,4.025424,3.31,0.53,0,7,0,15
FAHJ1BC2,F,AHJ,1,BC,2,67.38,258.05,1643.01,2949.77,4474.7,0.3178,5.309735,6.42,0.75,0,1,2,8
FAHJ1BD2,F,AHJ,1,BD,2,65.67,257.33,1392.56,2800.55,4515.12,4.1406,5.980066,7.51,0.83,0,1,0,6
FAHJ1BE2,F,AHJ,1,BE,2,66.2,255.7,1641.67,3008.49,4435.91,17.5153,3.874814,6.47,0.36,0,3,3,14
FAHJ1BF2,F,AHJ,1,BF,2,68.57,256.91,1435.1,2963.07,4465.99,7.5285,8.095238,6.46,0.48,0,11,1,21
FAHJ1BG2,F,AHJ,1,BG,2,68.51,255.3,1441.57,2984.62,4454.49,10.821,5.494505,6.69,0.54,0,5,3,13
FAHJ1BH2,F,AHJ,1,BH,2,65.06,259.84,1410.74,2729.85,4424.19,9.7849,5.722892,6.56,0.54,0,5,4,13
FAHJ1BI2,F,AHJ,1,BI,2,65.75,251.92,1581.74,2936.87,4534.62,14.5521,6.692913,6.63,0.85,0,2,0,13
FAHJ1BJ2,F,AHJ,1,BJ,2,64.97,251.18,1352.85,2928.87,4512.07,0.7383,8.358209,6.95,0.71,0,2,0,7
FAHJ1BK2,F,AHJ,1,BK,2,66.02,257.65,1431.43,3051.3,4543.55,11.9415,7.551487,6.84,0.82,0,2,0,11
FAHJ1BL2,F,AHJ,1,BL,2,65.28,250.5,1453.18,2833.39,4436.7,3.134,7.19697,7.03,0.57,0,3,0,7
FAHJ1BM2,F,AHJ,1,BM,2,66.55,255.85,1551.83,3113.99,4571.04,8.4392,8.121827,6.92,0.53,0,6,3,17
FAHJ1BN2,F,AHJ,1,BN,2,66.48,247.97,1521.62,3051.43,4468.96,10.2889,6.431535,6.95,0.47,0,9,0,19
